epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.44,1.84958,3.33535,1.76127,0.25785,0.27037,0.1481,0.05317,2.22475,3.00727,2.44618,0.000369834,0.000369834,0.000369834
2,467.621,1.93243,2.64137,1.84419,0.2665,0.23823,0.17272,0.06962,2.23577,2.66694,2.4965,0.000725512,0.000725512,0.000725512
3,698.467,1.93391,2.51669,1.84287,0.33344,0.29668,0.21765,0.08244,2.1788,2.55381,2.31415,0.00106653,0.00106653,0.00106653
4,930.01,1.89466,2.41755,1.80888,0.39735,0.31897,0.29342,0.12754,2.08533,2.39735,2.24093,0.00104501,0.00104501,0.00104501
5,1162.54,1.84051,2.28461,1.75737,0.39482,0.32999,0.28162,0.12517,2.02102,2.38711,2.08761,0.00102301,0.00102301,0.00102301
6,1398.76,1.80159,2.18533,1.72015,0.45816,0.39038,0.35879,0.16593,1.96827,2.22902,2.11471,0.00100101,0.00100101,0.00100101
7,1636.24,1.75661,2.09837,1.68608,0.44034,0.39751,0.38424,0.1778,1.94256,2.10718,2.0476,0.000979013,0.000979013,0.000979013
8,1867.23,1.72372,2.01759,1.65988,0.51733,0.39983,0.3845,0.18082,1.9123,2.13092,1.9735,0.000957015,0.000957015,0.000957015
9,2101.57,1.71221,1.9735,1.64716,0.46736,0.4451,0.38114,0.18027,1.92433,2.09152,2.02223,0.000935018,0.000935018,0.000935018
10,2323.59,1.68527,1.9141,1.62353,0.5128,0.42851,0.4221,0.19514,1.87205,2.02183,1.94266,0.00091302,0.00091302,0.00091302
11,2544.25,1.6601,1.85492,1.60489,0.54515,0.48977,0.45304,0.22371,1.8711,1.95996,2.00505,0.000891022,0.000891022,0.000891022
12,2767.16,1.65596,1.83548,1.59405,0.56414,0.44561,0.46414,0.22611,1.85015,1.90413,1.9554,0.000869024,0.000869024,0.000869024
13,2988.75,1.62977,1.77714,1.5714,0.55227,0.49849,0.50086,0.25435,1.82043,1.81952,1.92613,0.000847026,0.000847026,0.000847026
14,3211.19,1.59884,1.71792,1.55257,0.55989,0.51788,0.50377,0.25124,1.84441,1.81146,1.92427,0.000825029,0.000825029,0.000825029
15,3430.98,1.5931,1.6854,1.54494,0.59061,0.52457,0.52295,0.26683,1.79508,1.74944,1.88865,0.000803031,0.000803031,0.000803031
